School_ID,State,Year,Subject,ISBN
8,VIC,0,ENGLISH,9781741250879
9,NSW,0,ENGLISH,9780648237327
15,NSW,0,ENGLISH,9781742990682
15,NSW,0,ENGLISH,9781741351750
15,NSW,0,ENGLISH,9781742152196
15,NSW,0,ENGLISH,9780310709626
15,NSW,0,ENGLISH,9780648237327
15,NSW,0,ENGLISH,9781876424022
35,NSW,0,ENGLISH,9781740202954
36,QLD,0,ENGLISH,9781925487350
36,QLD,0,ENGLISH,9781741352795
36,QLD,0,ENGLISH,9781922246165
37,NT,0,MUSIC,9780987411457
37,NT,0,ENGLISH,9781741353006
37,NT,0,ENGLISH,9780760935880
37,NT,0,ENGLISH,9780076044818
37,NT,0,ENGLISH,9781743305614
8,VIC,1,ENGLISH,9781741250886
8,VIC,1,ENGLISH,9780170129046
8,VIC,1,ENGLISH,9780648237327
9,NSW,1,ENGLISH,9780648237327
9,NSW,1,MATHEMATICS,9780190322793
10,VIC,1,ENGLISH,9780190312480
10,VIC,1,ENGLISH,9781863112604
10,VIC,1,MUSIC,9780987411457
10,VIC,1,MATHEMATICS,9781741351828
10,VIC,1,MATHEMATICS,9781741351828
10,VIC,1,MATHEMATICS,9781741353358
10,VIC,1,ENGLISH,9780648237327
10,VIC,1,ENGLISH,9781741353501
6,VIC,1,SCIENCE,9780190310769
6,VIC,1,ENGLISH,9781925487459
6,VIC,1,ENGLISH,9781741353501
6,VIC,1,ENGLISH,9780725334604
6,VIC,1,ENGLISH,9780195560367
13,NT,1,MATHEMATICS,9780648237327
13,NT,1,MATHEMATICS,9781741351828
14,WA,1,ENGLISH,9780190312565
15,NSW,1,ENGLISH,9781876424503
15,NSW,1,MATHEMATICS,9781741353358
15,NSW,1,ENGLISH,9781406313574
15,NSW,1,MATHEMATICS,9781741351828
15,NSW,1,ENGLISH,9780593098431
15,NSW,1,ENGLISH,9780648237327
15,NSW,1,MATHEMATICS,9781741351828
17,QLD,1,ENGLISH,9780190320225
26,QLD,1,ENGLISH,9781741352801
26,QLD,1,MATHEMATICS,9781741351828
26,QLD,1,ENGLISH,9781863112604
33,NSW,1,MATHEMATICS,9781488621161
33,NSW,1,ENGLISH,9780190312565
33,NSW,1,MATHEMATICS,9781741351828
33,NSW,1,ENGLISH,9780190323172
33,NSW,1,ENGLISH,9780648237327
35,NSW,1,ENGLISH,9781740202978
36,QLD,1,ENGLISH,9781922246172
36,QLD,1,ENGLISH,9781741352801
37,NT,1,MUSIC,9780987411464
37,NT,1,ENGLISH,9781741352948
37,NT,1,ENGLISH,9780076044825
3,VIC,2,ENGLISH,9780190312497
3,VIC,2,LANGUAGES,9781563160332
3,VIC,2,ACCOUNTING,9781337587426
3,VIC,2,RELIGIOUS EDUCATION,9781933301013
3,VIC,2,ENGLISH,9780648237327
8,VIC,2,ENGLISH,9781741250893
8,VIC,2,ENGLISH,9780170129046
8,VIC,2,ENGLISH,9780648237327
9,NSW,2,ENGLISH,9780648237327
9,NSW,2,ENGLISH,9780987395344
9,NSW,2,ENGLISH,9780142410394
9,NSW,2,MATHEMATICS,9780190322809
10,VIC,2,ENGLISH,9780190323189
10,VIC,2,MATHEMATICS,9781741351774
10,VIC,2,ENGLISH,9781741353501
10,VIC,2,MATHEMATICS,9781741351774
10,VIC,2,ENGLISH,9780987127150
10,VIC,2,ENGLISH,9780190312497
6,VIC,2,SCIENCE,9780190310769
6,VIC,2,ENGLISH,9781925487459
6,VIC,2,ENGLISH,9780195560374
6,VIC,2,ENGLISH,9781741353501
6,VIC,2,ENGLISH,9780725334611
11,QLD,2,MATHEMATICS,9781741353372
11,QLD,2,MATHEMATICS,9781877085444
11,QLD,2,MATHEMATICS,9789810732936
11,QLD,2,MATHEMATICS,9789810730673
11,QLD,2,MATHEMATICS,9781862512634
11,QLD,2,MATHEMATICS,9781741352696
13,NT,2,MATHEMATICS,9780648237334
13,NT,2,MATHEMATICS,9781741351774
15,NSW,2,MATHEMATICS,9781741353372
15,NSW,2,ENGLISH,9780763696085
15,NSW,2,MATHEMATICS,9781741351774
15,NSW,2,ENGLISH,9781402007002
15,NSW,2,ENGLISH,9781400316908
15,NSW,2,ENGLISH,9780670072361
15,NSW,2,MATHEMATICS,9781741351774
17,QLD,2,MATHEMATICS,9781920962425
17,QLD,2,ENGLISH,9780190320232
26,QLD,2,ENGLISH,9781741352818
26,QLD,2,ENGLISH,9781863112604
26,QLD,2,MATHEMATICS,9781741351774
30,SA,2,ENGLISH,9780190309961
33,NSW,2,MATHEMATICS,9781488621802
33,NSW,2,ENGLISH,9780190312572
33,NSW,2,MATHEMATICS,9781741351774
33,NSW,2,ENGLISH,9780190323189
35,NSW,2,MATHEMATICS,9781488621192
35,NSW,2,ENGLISH,9781740202992
36,QLD,2,ENGLISH,9781877085444
36,QLD,2,MATHEMATICS,9781921358906
36,QLD,2,ENGLISH,9781925168563
37,NT,2,ENGLISH,9781741353006
37,NT,2,ENGLISH,9781743305737
37,NT,2,ENGLISH,9780076044832
3,VIC,3,ENGLISH,9780190312503
3,VIC,3,LANGUAGES,9781563160332
3,VIC,3,ENGLISH,9780190302689
3,VIC,3,SCIENCE,9780394176550
3,VIC,3,RELIGIOUS EDUCATION,9781933301013
8,VIC,3,MATHEMATICS,9781925114300
8,VIC,3,MATHEMATICS,9781921535758
8,VIC,3,MATHEMATICS,9781921535758
8,VIC,3,MATHEMATICS,9781876081621
8,VIC,3,MATHEMATICS,9781876081638
8,VIC,3,ENGLISH,9780980868753
9,NSW,3,ENGLISH,9780648237334
9,NSW,3,ENGLISH,9780190312572
9,NSW,3,MATHEMATICS,9780190322816
10,VIC,3,ENGLISH,9780190323172
10,VIC,3,LANGUAGES,9780932416988
10,VIC,3,MUSIC,9781875191987
10,VIC,3,ENGLISH,9781922116734
10,VIC,3,ENGLISH,9781741351583
10,VIC,3,ENGLISH,9780190312503
10,VIC,3,LANGUAGES,9780932416988
10,VIC,3,MATHEMATICS,9781741351781
10,VIC,3,MATHEMATICS,9781741351842
10,VIC,3,MUSIC,9780975182864
6,VIC,3,ENGLISH,9780190303488
6,VIC,3,ENGLISH,9781741351583
6,VIC,3,MATHEMATICS,9781741353389
6,VIC,3,ENGLISH,9780725334628
6,VIC,3,ENGLISH,9781925487466
6,VIC,3,SCIENCE,9780190310776
6,VIC,3,english,9780224025720
11,QLD,3,MATHEMATICS,9781741353389
11,QLD,3,MATHEMATICS,9781877085451
11,QLD,3,MATHEMATICS,9789814629294
11,QLD,3,MATHEMATICS,9789810732967
11,QLD,3,MATHEMATICS,9781741351583
13,NT,3,MATHEMATICS,9780648237334
13,NT,3,MATHEMATICS,9781741351842
15,NSW,3,MATHEMATICS,9781741353389
15,NSW,3,ENGLISH,9780141354828
15,NSW,3,ENGLISH,9780142401088
15,NSW,3,MATHEMATICS,9781741351781
15,NSW,3,ENGLISH,9780849907685
15,NSW,3,MATHEMATICS,9781741351842
16,NSW,3,ENGLISH,9780732285432
16,NSW,3,MATHEMATICS,9781741351811
16,NSW,3,ENGLISH,9780648103066
16,NSW,3,MATHEMATICS,9781741351811
17,QLD,3,ENGLISH,9780190320249
30,SA,3,MATHEMATICS,9781925487237
30,SA,3,ENGLISH,9780190309961
33,NSW,3,MATHEMATICS,9781864412741
33,NSW,3,ENGLISH,9780190312589
33,NSW,3,MATHEMATICS,9781741351781
33,NSW,3,ENGLISH,9780190302689
35,NSW,3,ENGLISH,9780170416917
35,NSW,3,MATHEMATICS,9781488621833
36,QLD,3,MATHEMATICS,9781921358913
